ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_symbols
GO:0001906,cell killing,Sep-97,238/18842,0.037815126,7.345490774,7.086726131,3.83E-06,0.000117761,8.58E-05,6373/3627/2919/10563/6364/6355/2921/3576/2920,9,CXCL11/CXCL10/CXCL1/CXCL13/CCL20/CCL8/CXCL3/CXCL8/CXCL2
GO:0048247,lymphocyte chemotaxis,May-97,47/18842,0.106382979,20.66461943,9.709758526,4.21E-06,0.00012771,9.30E-05,6373/3627/6351/10563/6347,5,CXCL11/CXCL10/CCL4/CXCL13/CCL2
GO:0001935,endothelial cell proliferation,Aug-97,186/18842,0.043010753,8.354727857,7.251184116,5.30E-06,0.000158469,0.00011546,1960/3690/54567/654/6347/3586/3164/7422,8,EGR3/ITGB3/DLL4/BMP6/CCL2/IL10/NR4A1/VEGFA
GO:1901623,regulation of lymphocyte chemotaxis,Apr-97,23/18842,0.173913043,33.78216047,11.31614069,5.42E-06,0.000159925,0.000116521,3627/6351/10563/6347,4,CXCL10/CCL4/CXCL13/CCL2
GO:1903039,positive regulation of leukocyte cell-cell adhesion,Sep-97,250/18842,0.036,6.992907216,6.861824756,5.71E-06,0.000166236,0.000121119,6714/1236/29126/259307/6347/7412/8013/10148/941,9,SRC/CCR7/CD274/IL4I1/CCL2/VCAM1/NR4A3/EBI3/CD80
GO:0070374,positive regulation of ERK1 and ERK2 cascade,Aug-97,189/18842,0.042328042,8.222113129,7.178206761,5.96E-06,0.000171252,0.000124773,6714/10135/3690/3624/1236/3084/57007/7422,8,SRC/NAMPT/ITGB3/INHBA/CCR7/NRG1/ACKR3/VEGFA
GO:0071347,cellular response to interleukin-1,Jun-97,88/18842,0.068181818,13.24414246,8.281669092,6.14E-06,0.000173465,0.000126386,3656/958/6347/3576/3554/8564,6,IRAK2/CD40/CCL2/CXCL8/IL1R1/KMO
GO:0002819,regulation of adaptive immune response,Aug-97,190/18842,0.042105263,8.17883885,7.154238615,6.20E-06,0.000173465,0.000126386,3665/29126/259307/3586/10148/941/3554/3456,8,IRF7/CD274/IL4I1/IL10/EBI3/CD80/IL1R1/IFNB1
GO:0002696,positive regulation of leukocyte activation,Oct-97,325/18842,0.030769231,5.976843775,6.510367358,6.77E-06,0.000185744,0.000135333,6714/1236/29126/259307/6347/3586/7412/8013/10148/941,10,SRC/CCR7/CD274/IL4I1/CCL2/IL10/VCAM1/NR4A3/EBI3/CD80
GO:0045088,regulation of innate immune response,Dec-97,482/18842,0.024896266,4.836035419,6.137124148,6.81E-06,0.000185744,0.000135333,6714/330/79931/8638/9636/653361/3656/3665/29126/64135/54625/3456,12,SRC/BIRC3/TNIP3/OASL/ISG15/NCF1/IRAK2/IRF7/CD274/IFIH1/PARP14/IFNB1
GO:0043122,regulation of canonical NF-kappaB signal transduction,Oct-97,326/18842,0.030674847,5.958509898,6.496531043,6.96E-06,0.000186047,0.000135553,330/79931/10346/10135/1236/3656/24138/958/7422/3554,10,BIRC3/TNIP3/TRIM22/NAMPT/CCR7/IRAK2/IFIT5/CD40/VEGFA/IL1R1
GO:0007159,leukocyte cell-cell adhesion,Nov-97,402/18842,0.027363184,5.315227984,6.291170179,6.99E-06,0.000186047,0.000135553,6714/1236/29126/259307/6347/3586/7412/8013/10148/941/3456,11,SRC/CCR7/CD274/IL4I1/CCL2/IL10/VCAM1/NR4A3/EBI3/CD80/IFNB1
GO:0070661,leukocyte proliferation,Sep-97,261/18842,0.034482759,6.698186989,6.668336823,8.08E-06,0.000212603,0.000154902,29126/259307/958/6355/3586/7412/10148/941/3456,9,CD274/IL4I1/CD40/CCL8/IL10/VCAM1/EBI3/CD80/IFNB1
GO:0042325,regulation of phosphorylation,Nov-97,412/18842,0.026699029,5.186217596,6.180204683,8.81E-06,0.000228917,0.000166788,374/51191/57214/3624/3656/3084/3486/3586/54625/7422/941,11,AREG/HERC5/CEMIP/INHBA/IRAK2/NRG1/IGFBP3/IL10/PARP14/VEGFA/CD80
